id,name,role,current_level,target_domain,interests,current_skills,experience_years,education,location,country,goals,preferred_availability,budget_per_hour,languages,linkedin,profile_image
1,Becky Thomas,Student,Intermediate,HR,Soft Skills|Recruitment,Soft Skills|Recruitment,4,Student,North Jamieton,India,My example process hundred wide until law.,Evenings,49,"English,Hindi",https://linkedin.com/in/ljones,https://i.pravatar.cc/150?img=31
2,Todd Petersen,Student,Beginner,Product Management,Analytics|Roadmaps|UX|Agile,Agile|Analytics,1,B.Tech,East Williammouth,India,Authority small training card little training minute brother.,Evenings,7,Hindi,https://linkedin.com/in/nancy89,https://i.pravatar.cc/150?img=32
3,Travis Foster,Student,Beginner,Product Management,UX|Agile|Roadmaps|Analytics,Roadmaps|Agile,1,Student,Lake Melindaside,India,Control amount from several election worry picture such.,Evenings,49,"English,Hindi",https://linkedin.com/in/tallen,https://i.pravatar.cc/150?img=33
4,Claudia Sullivan,Student,Advanced,HR,Recruitment|Soft Skills,Recruitment|Soft Skills,5,BCA,Lake Billy,India,Program charge upon article quickly measure.,Flexible,10,"English,Hindi",https://linkedin.com/in/carolyngordon,https://i.pravatar.cc/150?img=34
5,Matthew Diaz,Student,Beginner,Product Management,Analytics|UX|Agile,Analytics|Roadmaps|UX|Agile,3,MBA,East Donald,India,Often talk machine thousand create rest peace.,Evenings,10,English,https://linkedin.com/in/rodriguezgregory,https://i.pravatar.cc/150?img=35
6,Richard Foster,Student,Advanced,AI/ML,Transformers|Deep Learning,Deep Learning|TensorFlow,3,MBA,Cynthiamouth,India,Personal site open.,Weekends,48,"English,Hindi",https://linkedin.com/in/dmurphy,https://i.pravatar.cc/150?img=36
7,Albert Murillo,Student,Beginner,Finance,Stocks|Excel,Valuation|Stocks|Excel,3,Student,North Reginaldburgh,India,Base yeah produce up.,Weekends,16,"English,Hindi",https://linkedin.com/in/katie08,https://i.pravatar.cc/150?img=37
8,Mercedes Jones,Student,Advanced,Data Science,Statistics|ML|Pandas,Pandas|Python|ML|Statistics,3,B.Tech,Meganview,India,Meet property age price.,Evenings,9,"English,Hindi",https://linkedin.com/in/katherineadkins,https://i.pravatar.cc/150?img=38
9,Kelli Davidson PhD,Student,Intermediate,Software Engineering,AWS|System Design,AWS|React|Java,1,BCA,Jamesland,India,Maintain Mr maybe occur PM organization.,Flexible,28,"English,Hindi",https://linkedin.com/in/bgarrett,https://i.pravatar.cc/150?img=39
10,Donna Matthews,Student,Intermediate,AI/ML,NLP|Deep Learning,Transformers|NLP|Deep Learning,0,MBA,South Alisonport,India,Section resource probably detail truth than decision type.,Evenings,7,English,https://linkedin.com/in/bensonmatthew,https://i.pravatar.cc/150?img=40
